Aatrox, Fighter
Ahri, Mage
Akali, Assassin
Alistar, Tank
Amumu, Tank
Anivia, Mage
Annie, Mage
Ashe, Marksman
Aurelion Sol, Mage
Azir, Mage
Bard, Support
Blitzcrank, Tank
Brand, Mage
Braum, Support
Caitlyn, Marksman
Cassiopeia, Mage
Cho Gath, Tank
Corki, Marksman
Darius, Fighter
Diana, Fighter
Draven, Marksman
Dr. Mundo, Fighter
Ekko, Assassin
Elise, D
Evelynn, D
Ezreal, D
Fiddlesticks, D
Fiora, D
Fizz, D
Galio, D
Gankplank, D
Garen, D
Gnar, D
Gragas, D
Graves, D
Hecarim, D
Heimerdinger, D
Illaoi, D
Irelia, D
Janna, D
Jarvan, D
Jax, D
Jayce, D
Jhin, D
Jinx, d
Kalista, D
Karma, D
Karthus, D
Kassadin, D
Katarina, D
Kayle, D
Kennen, D
Kha'Zix, D
Kindred, D
Kog'Maw, D
LeBlanc, D
Lee Sin, D
Leona, D
Lissandra, D
Lucian, D
Lulu, D
Lux, D
Malphite, D
Malzahar, D
Maokai, D
Master Yi, D
Miss Fortune, D
Wukong, D
Mordekaiser, D
Morgana, D
Nami, D
Nasus, D
Nautilus, D
Nidalee, D
Nocturne, d
Nunu, D
Olaf, D
Orianna, D
Pantheon, D
Poppy, D
Quinn, D
Rammus, D
Rek'Sai, D
Renekton, D
Rengar, D
Riven, D
Rumble, d
Ryze, D
Sejuani, D
Shaco, D
Shen, D
Shyvana, D
Singed, D
Sion, D
Sivir, D
Skarner, D
Sona, D
Soraka, D
Swain, D
Syndra, D
Tahm Kench, D
Talon, D
Taric, D
Teemo, D
Thresh, D
Tristana, D
Trundle, D
Tryndamere, D
Twisted Fate, D
Twitch, D
Udyr, D
Urgot, D
Varus, D
Vayne, D
Veigar, D
Vel'Koz, D
Vi, D
Viktor, D
Vladimir, D
Volibear, D
Warwick, D
Xerath, D
Xin Zhao, D
Yasuo, D
Yorick, D
Zac, D
Zed, D
Ziggs, D
Zilean, D
Zyra, D
